tempo,distance
2024-10-18T13:12:32,-1336.36
2024-10-18T13:12:38,32.73
2024-10-18T13:12:41,-10.91
2024-10-18T13:12:44,-1336.36
2024-10-18T13:22:21,96.36
2024-10-18T13:22:36,80.0
2024-10-18T13:22:39,3.64
2024-10-18T13:22:42,9.09
2024-10-18T13:22:51,87.27
2024-10-18T13:22:54,76.36
