timestamp,distance
2024-10-09T22:29:40,-20.0
2024-10-09T22:29:46,-1338.18
2024-10-09T22:29:49,-21.82
2024-10-09T22:29:52,-105.45
2024-10-09T22:29:58,-110.91
2024-10-09T22:30:01,-1338.18
2024-10-09T22:30:05,-21.82
2024-10-09T22:30:08,-109.09
2024-10-09T22:30:11,-1338.18
2024-10-09T22:30:14,-110.91
2024-10-09T22:30:17,-1338.18
2024-10-09T22:30:20,-23.64
2024-10-09T22:30:23,-1338.18
2024-10-09T22:30:26,-3.64
2024-10-09T22:30:29,-23.64
2024-10-09T22:30:32,0.0
2024-10-09T22:30:41,-7.27
2024-10-09T22:30:44,-23.64
2024-10-09T22:30:47,-1.82
2024-10-09T22:30:50,-105.45
2024-10-09T22:30:56,-1.82
2024-10-09T22:30:59,-20.0
2024-10-09T22:31:02,-105.45
2024-10-09T22:31:08,-1338.18
2024-10-09T22:31:11,-100.0
2024-10-09T22:31:17,-18.18
2024-10-09T22:31:20,-94.55
2024-10-09T22:31:26,-1.82
2024-10-09T22:31:38,-96.36
2024-10-09T22:31:41,-1338.18
2024-10-09T22:31:44,-1.82
2024-10-09T22:31:50,-103.64
2024-10-09T22:31:53,-1.82
2024-10-09T22:31:56,-94.55
2024-10-09T22:32:05,-100.0
2024-10-09T22:32:08,-1338.18
2024-10-09T22:32:11,-103.64
2024-10-09T22:32:14,-109.09
2024-10-09T22:33:39,-21.82
2024-10-09T22:33:45,-107.27
2024-10-09T22:33:48,-112.73
2024-10-09T22:33:51,-1338.18
2024-10-09T22:33:54,-5.45
2024-10-09T22:34:00,-100.0
2024-10-09T22:34:09,-23.64
2024-10-09T22:34:12,-1338.18
2024-10-09T22:34:15,-1.82
2024-10-09T22:34:18,-63.64
2024-10-09T22:34:21,-7.27
2024-10-09T22:34:24,0.0
2024-10-09T22:34:27,-105.45
2024-10-09T22:34:30,-1338.18
2024-10-09T22:34:33,-18.18
2024-10-09T22:34:36,-107.27
2024-10-09T22:34:39,-1338.18
2024-10-09T22:34:42,-109.09
2024-10-09T22:34:48,-1338.18
2024-10-09T22:35:00,-107.27
2024-10-09T22:35:06,-116.36
2024-10-09T22:35:09,-1338.18
2024-10-09T22:35:18,-107.27
2024-10-09T22:35:21,-1338.18
2024-10-09T22:35:36,-109.09
2024-10-09T22:35:51,-103.64
2024-10-09T22:35:57,-112.73
2024-10-09T22:36:00,-1338.18
2024-10-09T22:36:06,-109.09
2024-10-09T22:36:12,-21.82
2024-10-09T22:36:15,-110.91
2024-10-09T22:36:21,-105.45
2024-10-09T22:37:01,-1338.18
2024-10-09T22:37:14,-107.27
2024-10-09T22:37:17,-1338.18
2024-10-09T22:37:23,-109.09
2024-10-09T22:37:26,-101.82
2024-10-09T22:37:29,-1338.18
2024-10-09T22:37:32,-109.09
2024-10-09T22:37:38,-98.18
2024-10-09T22:37:41,-67.27
2024-10-09T22:37:45,-1338.18
2024-10-09T22:37:48,-103.64
2024-10-09T22:37:51,-5.45
2024-10-09T22:38:00,-1338.18
2024-10-09T22:38:03,-3.64
2024-10-09T22:38:09,-105.45
2024-10-09T22:38:15,-23.64
2024-10-09T22:38:18,-96.36
2024-10-09T22:38:25,-9.09
2024-10-09T22:38:28,-1338.18
2024-10-09T22:38:44,-1338.18
2024-10-09T22:38:47,-110.91
2024-10-09T22:38:56,32.73
2024-10-09T22:38:38,-23.64
2024-10-09T22:39:00,49.09
2024-10-09T22:39:03,-1338.18
2024-10-09T22:39:06,-38.18
2024-10-09T22:39:09,-32.73
2024-10-09T22:39:12,-16.36
2024-10-09T22:39:15,-32.73
2024-10-09T22:39:21,-1338.18
2024-10-09T22:39:24,-30.91
2024-10-09T22:39:27,-16.36
2024-10-09T22:39:30,-3.64
2024-10-09T22:39:33,-16.36
2024-10-09T22:39:39,-5.45
2024-10-09T22:39:42,-16.36
2024-10-09T22:39:45,-9.09
2024-10-09T22:39:54,-16.36
2024-10-09T22:39:58,-5.45
2024-10-09T22:40:58,7.27
2024-10-09T22:41:01,0.0
2024-10-09T22:41:04,-1338.18
2024-10-09T22:41:07,12.73
2024-10-09T22:41:10,20.0
2024-10-09T22:41:13,5.45
2024-10-09T22:41:16,0.0
2024-10-09T22:41:19,12.73
2024-10-09T22:41:22,-14.55
2024-10-09T22:41:25,1.82
2024-10-09T22:41:28,10.91
2024-10-09T22:41:34,16.36
2024-10-09T22:41:37,9.09
2024-10-09T22:41:40,-18.18
2024-10-09T22:41:43,5.45
2024-10-09T22:41:46,-40.0
2024-10-09T22:41:49,-1338.18
2024-10-09T22:41:52,-29.09
2024-10-09T22:41:55,-14.55
2024-10-09T22:42:01,-21.82
2024-10-09T22:42:04,-27.27
2024-10-09T22:42:07,-14.55
2024-10-09T22:42:13,-34.55
2024-10-09T22:42:16,-1338.18
2024-10-09T22:42:19,-21.82
2024-10-09T22:42:37,-30.91
2024-10-09T22:42:40,-1338.18
2024-10-09T22:42:46,-18.18
2024-10-09T22:42:52,-1338.18
2024-10-09T22:42:55,-20.0
2024-10-09T22:43:04,-32.73
2024-10-09T22:43:07,-16.36
2024-10-09T22:43:10,-29.09
2024-10-09T22:43:13,-16.36
2024-10-09T22:43:19,-36.36
2024-10-09T22:43:22,-1338.18
2024-10-09T22:43:25,-16.36
2024-10-09T23:04:34,5.45
2024-10-09T23:04:37,0.0
2024-10-09T23:04:40,-1338.18
